totalAttempts,failedAttempts,ip,domainName,username,password,userAgent,timestamp,attack_detected
0,0,7c23:ac95:ac1b:1520:d96:aadf:60c9:e2b0,gutierrez-pena.biz,katherine41@roy.com,c3592701a5cbd6fffe4af322add24c35e1c4ff3c2166a0a07741888a65d5f04f,Safari,2025-02-13T09:54:55,False
1,1,85c6:bb9f:55ed:bee:3c48:d4cb:ed08:e9dd,lloyd.com,tdavis@anderson-griffith.com,165f1dece829487db5f2f9943d6b4c58c25d2419d6889018a603bec8ee8ef79d,Safari,2025-02-22T06:16:42,False
6,0,c369:72c2:5e29:51ee:749b:63d2:887b:8900,rivers-ward.com,gomezjeremy@yahoo.com,55e2d523db83d09e51ff6840ca29fcb4e57719a3e72912f706579bd35b9efb74,Safari,2025-01-29T01:56:46,False
2,0,2890:61c:d388:e5ec:3f19:bdba:24da:251f,randolph-jones.com,cummingsamy@hotmail.com,2726c348b438041c0f94f34e9af721f9ec1f881fc25bc2712230e42b9309b36c,Opera,2025-01-01T23:48:51,False
9,8,b8f2:a8d0:fe4a:3372:f655:fa88:9182:d891,lawson.net,qdavis@hotmail.com,bf838f60993af593ba3dc8ca0eea62dc4741a62ef0a0448aeebf092e2f1d4492,Chrome,2025-02-12T19:29:24,False
6,4,61ff:9b54:65db:a249:75c5:8c64:1449:e1f3,hunter.com,melanie80@holt-guzman.com,3fbca20a3eb3a76cc76a87876e13ac193fd7dcbf3089eff776ff2cfb1bbc8454,Chrome,2025-02-07T10:37:53,False
9,0,d19d:54c8:207f:1982:ba20:a109:5c70:f3c0,garrett-smith.org,staceysmith@harrison.biz,e447563eaf2d8a8b994d926fe93f8b22eff03ebadd2f53a9aa9f00d7bd45e403,Other,2025-01-27T16:59:57,False
0,0,12e3:7769:3fea:ebb3:8a03:328c:b6bf:acef,ramirez.com,harrygomez@sutton-johnson.com,19918f197f3a57031a1b3c357496146c08d000b89973a5132acf91a5910d8332,Other,2025-01-15T07:41:46,False
3,2,92eb:1b69:e1:a82e:6174:264a:4cae:9cea,brooks.com,amy85@escobar-miller.org,6f1ef0c1204c0543bb4f6f87e10c66ef3eba7f7e01d0290bd61b7c823e87b54d,Safari,2025-02-07T06:03:30,False
2,2,1fc7:33a6:d79e:3897:53df:bd22:8533:cd43,taylor-salazar.info,ppittman@yahoo.com,d374dd4a3c5325fef7598b6de4de62a845ce62b4727635af2ceb1e89169c11fe,Opera,2025-01-27T03:49:19,False
1,0,4363:4415:3d8b:d584:57ce:11d1:338:7488,williams.com,yturner@lamb.com,78d5b72238b049b2cb94b4de2258c3ef9d8b9feeba5d0b7da9ccdf75b91c26f5,Other,2025-01-01T11:40:55,False
2,1,5c9d:3b09:54bd:4f10:48a9:904d:e1a6:4e83,johnson.com,xgilbert@hotmail.com,01ebb1e3a7a1e10fd38375891d99b515d61d8aae723cc790a8abe99aea4f50b1,Opera,2025-02-20T20:10:37,False
7,6,396b:12a7:a5b1:a38c:d740:534b:e5ec:bdfd,taylor.com,weaveredward@gmail.com,8d0c87dcbc3cb8648f7ff6927be3f02a70584f2fa1ae95b212002fbdcc7d46e7,Chrome,2025-02-18T14:22:22,False
10,6,b423:3ff8:44c3:f71f:61ce:1709:3548:df59,harper-shaffer.org,fieldsjohn@hotmail.com,2033b33c8f0c88fc5e4c8ce2488aa464eb004655dc7e55c949d58fe77d79279f,Opera,2025-02-01T02:49:37,False
7,1,7ba5:8766:f65a:7766:79b1:a164:5e92:873e,woods.com,watersdon@hotmail.com,14b20d2d700a1235db714f4c2e8ae7553724f31afd3a0b58604606ec95ad14b7,Other,2025-02-08T11:25:06,False
9,6,719e:5c8a:3bde:11de:f696:328d:11a4:fd7a,haney.net,spenceracevedo@gmail.com,7b04514fdf0495e47c4ed4239ba4b034a9e0bf819b890a6d7e3af859e3cddc9b,Safari,2025-01-03T04:31:09,False
10,0,d4eb:1f50:22c8:a78a:6a5:fd6e:b3e8:82ef,butler.com,richardlambert@miller-vasquez.com,da2d5c1249dfcb05d20a52c32885497942d3e3d9b7170a0db9418f57478e2559,Other,2025-01-17T02:33:40,False
